rank,title,creator,set,average_score,vote_count,video_id,url
1,3 idiots ft. content creator,@priyanshu_verse,Set 2,90.67,3,3_idiots_ft_content_creator_Priyanshu_Sherwal,/submissions-set-2/3_idiots_ft_content_creator_Priyanshu_Sherwal/convert.mp4
2,Alive,@okay.go.please,Set 2,90.5,2,Alive_Ritesh_Varma,/submissions-set-2/Alive_Ritesh_Varma/video%204.mp4
3,Narak vlog,@Priyanshu@verse,Set 2,89,3,Narak_vlog_Priyanshu,/submissions-set-2/Narak_vlog_Priyanshu/video%2023.mp4
4,HELP (yellow font),@the_koushiki,Set 2,82.33,3,HELP_yellow_font_Koushiki_Malani,/submissions-set-2/HELP_yellow_font_Koushiki_Malani/video%2014.mp4
5,Dhobi Ghat,@https://www.instagram.com/_where_is_rajay_/,Set 2,82,3,Dhobi_Ghat_Rajay_Naik,/submissions-set-2/Dhobi_Ghat_Rajay_Naik/video%2010.mp4
6,Embracing New Cultures,@thebeefmomo,Set 2,80.33,3,Embracing_New_Cultures_Kesang_Bhutia,/submissions-set-2/Embracing_New_Cultures_Kesang_Bhutia/video%2011.mp4
7,Control yourself,@Heysiri.rao,Set 2,78,2,Control_yourself_Siri,/submissions-set-2/Control_yourself_Siri/video%209.mp4
8,PS5 - A Dream,@yash_kapoor.mkv,Set 1,74.67,3,PS5_-_A_Dream_Yash_Kapoor,/submissions/PS5_-_A_Dream_Yash_Kapoor/Comp%201_7.mp4
9,Zindagi mil gaee dubara ❤️,@Peegeekays,Set 1,74.67,3,Zindagi_mil_gaee_dubara_Prashant_Gopalakrishnan,/submissions/Zindagi_mil_gaee_dubara_Prashant_Gopalakrishnan/zindagi%20mil%20gaee.mp4
10,BILLI EYELASH,@pranavbhasin,Set 1,74.33,3,BILLI_EYELASH_pranav,/submissions/BILLI_EYELASH_pranav/BILLI%20EYELASH.mp4
11,Home,@with.nithya,Set 1,74.33,3,Home_Nithyashree_M,/submissions/Home_Nithyashree_M/home_1.mp4
12,Unsaid,@https://www.instagram.com/i_shub_/,Set 1,74,2,Unsaid_Shubham_Kumar,/submissions/Unsaid_Shubham_Kumar/Comp%201_5.mp4
13,The Hardest Thing,@okay.go.please,Set 2,71.67,3,The_Hardest_Thing_Ritesh_Varma,/submissions-set-2/The_Hardest_Thing_Ritesh_Varma/video%2028.mp4
14,whatdoyouseeafteryoudie?,@razzz,Set 1,71,2,whatdoyouseeafteryoudie_Razaid_Aziz_K,/submissions/whatdoyouseeafteryoudie_Razaid_Aziz_K/what%20do%20you%20see%20after%20you%20die.mp4
15,Ulpathi,@yesudasxsebastian,Set 1,70.5,2,Ulpathi_Yesudas_Sebastian,/submissions/Ulpathi_Yesudas_Sebastian/ulpathi.mp4
16,Cool edit I guess,@kash.cutz,Set 1,69,2,Cool_edit_I_guess_Khooshal,/submissions/Cool_edit_I_guess_Khooshal/Comp%201_4.mp4
17,The master of none or Polymath,@arpankundu_,Set 1,67.67,3,The_master_of_none_or_Polymath_Arpan_Kundu,/submissions/The_master_of_none_or_Polymath_Arpan_Kundu/Polymath%20Final.mp4
18,The Art Of Letting Go by Zenith Sandil,@zenith_sandil,Set 2,66.67,3,The_Art_Of_Letting_Go_by_Zenith_Sandil_Zenith_Sandil,/submissions-set-2/The_Art_Of_Letting_Go_by_Zenith_Sandil_Zenith_Sandil/video%2027.mp4
19,THE ICK,@luminescence.ks,Set 1,66.67,3,THE_ICK_Kshitij_Singh,/submissions/THE_ICK_Kshitij_Singh/Comp%201_8.mp4
20,Woh bhi sahi thi,@craphank,Set 2,66.67,3,Woh_bhi_sahi_thi_Anurag_Kerketta,/submissions-set-2/Woh_bhi_sahi_thi_Anurag_Kerketta/video%2031.mp4
21,Snooker Escapades,@agam.visuals,Set 1,66.5,2,Snooker_Escapades_Agam_Gupta,/submissions/Snooker_Escapades_Agam_Gupta/Comp%201.mp4
22,F1: Mumbai GP,@namannkapri,Set 1,65.67,3,F1_Mumbai_GP_Naman_Kapri,/submissions/F1_Mumbai_GP_Naman_Kapri/20260415_182846.mp4
23,Us Din ke Baad,@Shalinistuff,Set 2,65.67,3,Us_Din_ke_Baad_Shalini,/submissions-set-2/Us_Din_ke_Baad_Shalini/video%2029.mp4
24,Megha’s birthday!,@_raksha.j,Set 2,65.33,3,Megha_s_birthday_Raksha_Jaju,/submissions-set-2/Megha_s_birthday_Raksha_Jaju/video%2020.mp4
25,The Legends Of Underworld,@are_sumedhh,Set 1,64.67,3,The_Legends_Of_Underworld_Sumedh_Are,/submissions/The_Legends_Of_Underworld_Sumedh_Are/The%20Legends%20Of%20Underworld.mp4
26,Spoken FIlm,@https://www.instagram.com/_where_is_rajay_/,Set 1,64.5,2,Spoken_FIlm_Rajay_Naik,/submissions/Spoken_FIlm_Rajay_Naik/Comp%201_13.mp4
27,Always dripped out⛓️,@greagarage,Set 1,63,2,Always_dripped_out_Taniya_Elizabeth_joseph,/submissions/Always_dripped_out_Taniya_Elizabeth_joseph/Comp%201.mp4
28,Bengaluru Zombie Apocalypse,@veeezznuts,Set 2,62.33,3,Bengaluru_Zombie_Apocalypse_Vishal_Gowda,/submissions-set-2/Bengaluru_Zombie_Apocalypse_Vishal_Gowda/video%2038.mp4
29,Chai,@03kabirr,Set 1,59.67,3,Chai_Kabir_Chatterjee,/submissions/Chai_Kabir_Chatterjee/chai.mp4
30,My month in himachal,@_raksha.j,Set 2,59.67,3,My_month_in_himachal_Raksha_jaju,/submissions-set-2/My_month_in_himachal_Raksha_jaju/video%2022.mp4
31,The Ai Tool That Shaped A Generation,@namannkapri,Set 1,59.5,2,The_Ai_Tool_That_Shaped_A_Generation_Naman_Kapri,/submissions/The_Ai_Tool_That_Shaped_A_Generation_Naman_Kapri/20260415_182846.mp4
32,How to keep your girl happy,@raunakxu,Set 2,57.67,3,How_to_keep_your_girl_happy_Raunak_Upadhyay,/submissions-set-2/How_to_keep_your_girl_happy_Raunak_Upadhyay/video%2015.mp4
33,that last moment reel,@https://www.instagram.com/theshivamdixit,Set 1,57.67,3,that_last_moment_reel_shivam_dixit,/submissions/that_last_moment_reel_shivam_dixit/that%20last%20moment.mp4
34,That one “IDEA”,@https://www.instagram.com/abhishakepeeley?igsh=b2U3NHV1YTJjcTB5&utm_source=qr,Set 1,57.33,3,That_one_IDEA_Abhishek_Digra,/submissions/That_one_IDEA_Abhishek_Digra/That%20one%20%E2%80%9CIDEA%E2%80%9D.mp4
35,My favourite artist turns out to be a bad guy,@kash.cutz,Set 1,57,3,My_favourite_artist_turns_out_to_be_a_bad_guy_Khooshal_J_Jasani,/submissions/My_favourite_artist_turns_out_to_be_a_bad_guy_Khooshal_J_Jasani/Comp%201_6.mp4
36,A DAY IN THE LIFE OF MY SUMMER,@summer.of.2022,Set 2,56.5,2,A_DAY_IN_THE_LIFE_OF_MY_SUMMER_Sheryll,/submissions-set-2/A_DAY_IN_THE_LIFE_OF_MY_SUMMER_Sheryll/video%2034.mp4
37,emotions that cants be expressed by words,@wamiqsaifi,Set 2,56,3,emotions_that_cants_be_expressed_by_words_wamiq_saifi,/submissions-set-2/emotions_that_cants_be_expressed_by_words_wamiq_saifi/video%2012.mp4
38,Natural beauty,@vaishnavibinuuuu,Set 2,56,3,Natural_beauty_Vaishnavi_Binu,/submissions-set-2/Natural_beauty_Vaishnavi_Binu/video%2024.mp4
39,Perception of life,@omsai235119,Set 2,56,3,Perception_of_life_P_Om_Sai_Patra,/submissions-set-2/Perception_of_life_P_Om_Sai_Patra/video%2026.mp4
40,HYPOCRISY OF BOLLYWOOD,@doobmers,Set 1,55.67,3,HYPOCRISY_OF_BOLLYWOOD_doobmers,/submissions/HYPOCRISY_OF_BOLLYWOOD_doobmers/Comp%201_14.mp4
41,Went to college as Raj from RNBDJ,@https://www.instagram.com/deepankkhanduja?igsh=YXBjM2gxaDZmbmxx&utm_source=qr,Set 1,55.67,3,Went_to_college_as_Raj_from_RNBDJ_Deepank_Khanduja,/submissions/Went_to_college_as_Raj_from_RNBDJ_Deepank_Khanduja/Went%20to%20college%20as%20Raj%20from%20RNBDJ.mp4
42,Mounika Kokkiligadda,@https://www.instagram.com/rnounika?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Set 2,55.33,3,Mounika_Kokkiligadda_Mounika_Kokkiligadda,/submissions-set-2/Mounika_Kokkiligadda_Mounika_Kokkiligadda/video%2021.mp4
43,Neon Glaze,@kooks.brownie,Set 1,55.33,3,Neon_Glaze_Esha_Mukherjee,/submissions/Neon_Glaze_Esha_Mukherjee/Comp%201_12.mp4
44,Tu Aam Ho Par Special Ho,@ishpreetbalbir,Set 1,54.33,3,Tu_Aam_Ho_Par_Special_Ho_Ishpreet_Balbir,/submissions/Tu_Aam_Ho_Par_Special_Ho_Ishpreet_Balbir/mai%20aam%20hu.mp4
45,Wrong Direction pt. 1,@https://www.instagram.com/builtbysakshamm?igsh=Zmp3NHl5NDh4ZXRu,Set 1,54.33,3,Wrong_Direction_pt_1_SakSham_Verma,/submissions/Wrong_Direction_pt_1_SakSham_Verma/Comp%201_17.mp4
46,He Was Always There,@mushmetoo,Set 1,52.67,3,He_Was_Always_There_Smriti_Agarwal,/submissions/He_Was_Always_There_Smriti_Agarwal/Comp%201_6.mp4
47,Love in action (emotional),@niharikaapraveen,Set 1,52,3,Love_in_action_emotional_Niharika,/submissions/Love_in_action_emotional_Niharika/Comp%201_9.mp4
48,THE ELEVATOR,@https://www.instagram.com/by.vconnectz/,Set 1,52,2,THE_ELEVATOR_Shyamkumar_M,/submissions/THE_ELEVATOR_Shyamkumar_M/Comp%201.mp4
49,Vinay,@Vgvine_,Set 2,51.5,2,Vinay_Vinay,/submissions-set-2/Vinay_Vinay/video%2030.mp4
50,Kathakali Cinematic,@yepwaseem_,Set 2,51,3,Kathakali_Cinematic_Waseem,/submissions-set-2/Kathakali_Cinematic_Waseem/video%2016.mp4
